Media Market,Market State,dma,Total Airings 9Apr20 to 25Oct20,Est. Cost 9Apr20 to 25Oct29,Pro-Biden Airings 9Apr20 to 25Oct20,Pro-Trump Airings 9Apr20 to 25Oct20,Biden Ad Adv 9Apr20 to 25Oct20,Total Airings 12Oct20 to 25Oct20,Est. Cost 12Oct20 to 25Oct20,Pro-Biden Airings 12Oct20 to 25Oct20,Pro-Trump Airings 12Oct20 to 25Oct20,Biden Ad Adv 12Oct20 to 25Oct20
MIAMI,FL,528,"39,669"," $40,295,140 ","24,687","14,982","9,705","8,801"," $11,931,120 ","6,462","2,339","4,123"
MILWAUKEE,WI,617,"35,177"," $21,555,150 ","22,634","12,543","10,091","7,331"," $4,149,070 ","5,909","1,422","4,487"
MINNEAPOLIS,MN,613,"16,238"," $13,181,920 ","11,470","4,768","6,702","4,146"," $3,753,290 ","3,942",204,"3,738"
MISSOULA,MT,762,90," $18,930 ",75,15,60,33," $1,400 ",26,7,19
MOBILE,AL,686,"10,641"," $5,498,480 ","6,369","4,272","2,097","2,640"," $1,811,920 ","1,881",759,"1,122"
MONROE,LA,628,26, $930 ,24,2,22,26, $930 ,24,2,22
MONTEREY,CA,828,105," $6,300 ",54,51,3,60," $4,050 ",50,10,40
MONTGOMERY,AL,698,86," $7,610 ",19,67,-48,21," $1,930 ",19,2,17
MYRTLE BEACH,SC,570,50," $6,000 ",18,32,-14,50," $6,000 ",18,32,-14
NASHVILLE,TN,659,254," $63,640 ",26,228,-202,29," $5,250 ",26,3,23
NATIONAL CABLE,US,998,"17,931"," $97,674,370 ","12,660","4,818","7,842","5,528"," $25,749,140 ","4,189",887,"3,302"
NATIONAL NETWORK,US,-1,"2,971"," $52,879,610 ","2,101",870,"1,231","1,288"," $21,958,080 ",905,383,522
NEW ORLEANS,LA,622,122," $6,410 ",112,10,102,122," $6,410 ",112,10,102
NEW YORK,NY,501,88," $228,420 ",86,2,84,88," $228,420 ",86,2,84
NORFOLK,VA,544,539," $334,750 ",537,2,535,380," $255,830 ",378,2,376
NORTH PLATTE,NE,740,136," $23,090 ",12,124,-112,14, $150 ,12,2,10
ODESSA/MIDLAND,TX,633,60," $5,590 ",34,26,8,35," $4,800 ",33,2,31
OKLAHOMA CITY,OK,650,155," $16,820 ",80,75,5,89," $5,490 ",80,9,71
OMAHA,NE,652,"6,150"," $2,955,640 ","4,364","1,786","2,578","2,632"," $1,390,940 ","2,306",326,"1,980"
ORLANDO,FL,534,"42,527"," $47,332,920 ","24,688","17,839","6,849","7,408"," $8,881,120 ","5,135","2,273","2,862"
